Rank,Domain,Keyword_Count,Market_Share_%
1,sic.gov.co,41,12.77
2,cardenasvega.com,29,9.03
3,affirmalegal.com,26,8.10
4,youtube.com,25,7.79
5,camaramedellin.com.co,20,6.23
6,registro-marcas-colombia.com,20,6.23
7,vue.gov.co,19,5.92
8,signa.com.co,19,5.92
9,sipi.sic.gov.co,19,5.92
10,olartemoure.com,13,4.05
11,tumnet.com,7,2.18
12,sedeelectronica.sic.gov.co,7,2.18
13,lloredacamacho.com,5,1.56
14,dentons.cardenas-cardenas.com,5,1.56
15,cms.law,5,1.56
16,wolfmendez.co,5,1.56
17,phrlegal.com,5,1.56
18,lois.com.co,5,1.56
19,facebook.com,5,1.56
20,registro-marca.com,5,1.56
21,translate.google.com,5,1.56
22,casassantofimio.co,4,1.25
23,abogadosespecialistas.com.co,4,1.25
24,artesaniasdecolombia.com.co,4,1.25
25,protectia.eu,4,1.25
26,minjusticia.gov.co,3,0.93
27,actualicese.com,3,0.93
28,crecer.ccc.org.co,3,0.93
29,abelloabogados.com,3,0.93
30,marcasyregistros.com,3,0.93
