Keyword,Volume,Difficulty,CPC,Trend,Click_Potential
que significa propiedad intelectual,40,0,0.0,"""0.11",1.00
revista iberoamericana de propiedad intelectual,40,0,0.0,"""0.78",0.11
clausula de propiedad intelectual en un contrato de servicios,30,0,0.0,"""0.57",0.29
codigo de comercio propiedad intelectual,30,0,0.0,"""0.14",1.00
delito propiedad intelectual,30,0,0.0,"""0.22",0.11
delitos de propiedad intelectual,30,0,0.0,"""0.14",0.14
infracción de propiedad intelectual,30,0,0.0,"""0.11",0.22
la propiedad intelectual,30,0,0.0,"""0.06",0.24
ley de derechos de autor y propiedad intelectual en colombia,30,0,0.0,"""0.11",0.11
leyes que protegen la propiedad intelectual,30,0,0.0,"""0.11",0.00
los derechos de propiedad intelectual,30,0,0.0,"""0.11",0.22
maestria propiedad intelectual uniandes,30,0,1.69,"""0.11",0.11
normativa propiedad intelectual,30,0,0.0,"""0.71",0.14
noticias propiedad intelectual,30,0,0.0,"""0.33",1.00
organización mundial de la propiedad intelectual ompi,30,0,0.0,"""0.56",0.11
patentes y propiedad intelectual,30,0,0.0,"""0.11",0.11
propiedad intelectual codigo civil,30,0,0.0,"""1.00",0.14
propiedad intelectual codigo de comercio,30,0,0.0,"""0.14",0.14
propiedad intelectual de una empresa,30,0,0.0,"""0.11",0.11
propiedad intelectual e industrial,30,0,0.0,"""0.27",0.09
propiedad intelectual indigena,30,0,0.0,"""1.00",0.11
propiedad intelectual sic,30,0,0.0,"""0.11",0.33
propiedad intelectual unal,30,0,0.0,"""0.11",0.22
proteccion de la propiedad intelectual en colombia,30,0,0.0,"""0.11",0.11
que es el derecho de propiedad intelectual,30,0,0.0,"""0.18",0.64
que es la ley de propiedad intelectual,30,0,0.0,"""0.56",0.00
regalias propiedad intelectual,30,0,0.0,"""0.00",0.11
respetar la propiedad intelectual,30,0,0.0,"""0.00",0.11
robo de propiedad intelectual,30,0,0.0,"""0.57",0.29
sistema de propiedad intelectual,30,0,0.0,"""0.22",0.56
texto refundido de la ley de propiedad intelectual,30,0,0.0,"""0.11",0.11
trabajo abogado propiedad intelectual,30,0,0.0,"""0.11",0.33
tratados de propiedad intelectual,30,0,0.0,"""1.00",0.00
abogado especialista en propiedad intelectual,20,0,0.39,"""0.11",0.11
abogado junior propiedad intelectual,20,0,0.0,"""0.29",0.29
abogado propiedad intelectual vacante,20,0,0.0,"""0.11",0.44
abogados propiedad intelectual colombia,20,0,0.5,"""1.00",0.20
abogados propiedad intelectual medellin,20,0,0.0,"""0.00",0.11
activos de propiedad intelectual,20,0,0.0,"""1.00",1.00
activos intangibles propiedad intelectual,20,0,0.0,"""0.56",0.00
acuerdo de confidencialidad propiedad intelectual,20,0,0.0,"""0.14",0.29
adpic propiedad intelectual,20,0,0.0,"""0.00",1.00
amaya propiedad intelectual,20,0,0.0,"""0.20",0.20
arrendamiento de propiedad intelectual,20,0,0.0,"""0.20",0.40
asesoria propiedad intelectual,20,0,0.0,"""0.33",0.00
asociacion colombiana de propiedad intelectual,20,0,0.0,"""1.00",0.60
aula de propiedad intelectual,20,0,0.0,"""1.00",0.25
bienes de propiedad intelectual,20,0,0.0,"""0.11",0.11
caracteristicas de la propiedad intelectual,20,0,0.0,"""0.11",0.11
caracteristicas propiedad intelectual,20,0,0.0,"""0.00",0.00
casos de demanda por propiedad intelectual,20,0,0.0,"""0.20",0.20
