Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,olartemoure.com,lois.com.co,cardenasvega.com,casasantofimio.co,olartemoure.com (pages),lois.com.co (pages),cardenasvega.com (pages),casasantofimio.co (pages),Results
oracion al espiritu santo,"Informational, Transactional",110000,34,0.32,0.01,0,0,17,0,,,https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/oracion-al-espiritu-santo,,18500000
simbolos patrios de colombia,Informational,27100,25,0.00,0.00,6,0,0,0,https://olartemoure.com/simbolos-patrios-colombia/,,,,1450000
sa,Informational,22200,35,0.00,0.00,8,0,0,0,https://olartemoure.com/comprendiendo-sociedades-de-capital/,,,,4730000000
sas,Informational,14800,31,0.33,0.00,11,0,0,0,https://olartemoure.com/comprendiendo-sociedades-de-capital/,,,,336000000
sipi,Navigational,9900,32,0.26,0.00,0,0,21,0,,,https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/sic-lanza-nuevo-sistema-propiedad-industrial-sipi,,2830000
derechos de autor,Informational,8100,59,0.21,0.02,0,0,37,0,,,https://www.cardenasvega.com/index.php/cardenas-vega/boletin-intelectual/item/registro-derechos-autor,,468000000
fep,Navigational,6600,44,0.09,0.00,24,0,0,0,https://olartemoure.com/festival-estereo-picnic/fep-2/,,,,12300000
olarte,Informational,6600,20,0.00,0.04,3,0,0,0,https://olartemoure.com/,,,,4610000
ranitidina,Informational,5400,30,0.00,0.00,18,0,0,0,https://olartemoure.com/invima-ordena-retiro-ranitidina/,,,,581000
simbolos patrios,Informational,5400,24,0.00,0.00,20,0,0,0,https://olartemoure.com/simbolos-patrios-colombia/,,,,5220000
