Groups,Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
"intelectual,propiedad",propiedad intelectual,Informational,2400,27,0.62,"AI Overview, Video, Video carousel, People also ask, Related searches"
"intelectual,mundial,organizaciones,propiedad",organización mundial de la propiedad intelectual,Informational,480,36,0.00,"Video, Video carousel, People also ask, Knowledge panel, Related searches"
"intelectual,propiedad",que es la propiedad intelectual,Informational,480,36,0.00,"AI Overview, Instant answer, Video, People also ask, Related searches"
"colombia,intelectual,propiedad",propiedad intelectual en colombia,Informational,390,20,0.24,"AI Overview, Video, Video carousel, People also ask, Related searches"
"autores,derecho,intelectual,propiedad",propiedad intelectual y derechos de autor,Informational,390,21,0.27,"Sitelinks, AI Overview, Video, Related searches"
"especializacion,intelectual,propiedad",especializacion en propiedad intelectual,Informational,260,,1.40,"Video, Related searches, Ads bottom"
"ejemplos,intelectual,propiedad",propiedad intelectual ejemplos,Informational,140,22,0.00,"AI Overview, Image pack, Video carousel, People also ask, Related searches"
"diplomado,intelectual,propiedad",diplomado propiedad intelectual,Informational,110,,0.42,"Video, Related searches, Ads bottom"
"intelectual,ley,propiedad",ley de propiedad intelectual,Informational,110,30,0.00,"Video, Video carousel, People also ask, Related searches"
"colombia,intelectual,ley,propiedad",ley de propiedad intelectual colombia,Informational,110,23,0.00,"AI Overview, Video, Video carousel, Related searches"
"intelectual,maestria,propiedad",maestria en propiedad intelectual,Informational,110,15,2.48,"Sitelinks, Video, Related searches, Ads bottom"
"intelectual,propiedad,proteccion",proteccion de la propiedad intelectual,Informational,110,21,0.00,"AI Overview, Video, People also ask, Related searches"
"abogado,intelectual,propiedad",abogado de propiedad intelectual,Commercial,90,20,0.57,"Reviews, People also ask, Local pack, Related searches"
"abogado,intelectual,propiedad",abogados propiedad intelectual,Commercial,90,24,0.69,"Reviews, People also ask, Local pack, Related searches"
"derecho,intelectual,propiedad",derechos de propiedad intelectual,Informational,90,31,0.32,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
"intelectual,propiedad,tipos",tipos de propiedad intelectual,Informational,90,19,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
"delito,intelectual,propiedad",delitos contra la propiedad intelectual,Informational,70,16,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
"derecho,intelectual,propiedad",derecho propiedad intelectual,Informational,70,27,0.76,"Sitelinks, AI Overview, Video, Related searches"
"derecho,intelectual,propiedad",derechos propiedad intelectual,Informational,70,24,0.76,"Sitelinks, AI Overview, Video, People also ask, Related searches"
"colombia,intelectual,propiedad",que es la propiedad intelectual en colombia,Informational,70,17,0.00,"AI Overview, Video, People also ask, Related searches"
"derecho,intelectual,propiedad",derecho de propiedad intelectual,Informational,50,28,0.28,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
"diferencia,industrial,intelectual,propiedad",diferencia entre propiedad intelectual y propiedad industrial,Informational,50,19,0.00,"AI Overview, Video, Related searches"
"europea,intelectual,oficina,propiedad,union",oficina de propiedad intelectual de la unión europea,Navigational,50,29,0.00,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches"
"industrial,intelectual,propiedad",propiedad intelectual y propiedad industrial,Informational,50,26,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
"derecho,intelectual,propiedad",que es propiedad intelectual en derecho,Informational,50,28,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
"dia,intelectual,propiedad",dia de la propiedad intelectual,Informational,40,20,0.00,"Sitelinks, Instant answer, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
"dia,intelectual,mundial,propiedad",dia mundial de la propiedad intelectual,Informational,40,23,0.00,"Sitelinks, Instant answer, Image, Video, Video carousel, Knowledge panel, Related searches"
