Groups,Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
fintech,fintech,Informational,6600,48,0.68,"AI Overview, Video, Video carousel, People also ask, Local pack, Knowledge panel, Related searches"
"colombia,fintech",fintech colombia,"Informational, Navigational",2900,32,0.80,"Sitelinks, AI Overview, Image pack, Video, People also ask, Top stories, Related searches"
fintech,fintech que es,Informational,1900,34,0.36,"AI Overview, Video, Video carousel, Short videos, Related searches"
"fintech,sas",fintech sas,Informational,1000,38,0.66,"AI Overview, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, See results about"
"colombia,fintech",fintech en colombia,Informational,390,15,0.71,"AI Overview, Image pack, Video, Video carousel, Related searches"
"fintech,latam,marketing",latam fintech market,Navigational,320,19,0.43,"Sitelinks, Video, Short videos, People also ask, Related searches, See results about"
"fintech,prestamos",fintech prestamos,"Informational, Transactional",260,62,0.82,"Video, People also ask, Related searches"
"fintech,plataforma",plataforma fintech,Informational,260,38,0.57,"AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom"
"fintech,plataforma",plataformas fintech,Informational,260,44,0.51,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
"cmp,fintech,rapicredit",cmp rapicredit fintech,Navigational,210,26,0.26,"Sitelinks, AI Overview, Video, Related searches"
"colombia,fintech,prestamos",fintech colombia prestamos,Commercial,210,62,0.63,"Video carousel, People also ask, Related searches"
"fintech,latam",fintech latam,Navigational,210,49,0.83,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches"
"fintech,latam",latam fintech,Navigational,210,31,0.83,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches"
"fintech,rapicredit",rapicredit fintech,Navigational,210,,0.31,"Sitelinks, Video, Knowledge panel, Related searches"
"colombia,fintech",que es fintech en colombia,Informational,170,16,0.08,"AI Overview, Video, Video carousel, Related searches"
"empresa,fintech",empresas fintech,Informational,140,24,0.47,"AI Overview, Image pack, Video, Related searches"
fintech,que es un fintech,Informational,140,31,0.06,"Sitelinks, AI Overview, Video, Short videos, Related searches"
"credito,fintech",credito fintech,Informational,110,41,0.76,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
"credito,fintech",creditos fintech,"Informational, Transactional",110,63,0.76,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
"america,fintech",fintech americas,Navigational,110,37,0.85,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
"fintech,funcion",fintech que es y como funciona,Informational,110,26,0.35,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
"fintech,wales",walo fintech,Informational,110,31,0.25,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches"
"credito,fintech",fintech creditos,Commercial,90,65,0.84,"Video, Video carousel, Related searches"
"colombia,fintech,prestamos",fintech prestamos colombia,Informational,90,62,0.54,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
"credito,fintech",fintech credito,"Informational, Transactional",70,64,0.84,"Video, Video carousel, People also ask, Related searches"
"colombia,fintech,prestamos",prestamos fintech colombia,"Informational, Transactional",70,68,0.44,"Video, People also ask, Related searches"
"colombia,fintech",que es fintech colombia,Informational,70,22,0.00,"AI Overview, Video, Video carousel, Related searches"
"especializaciones,fintech",especialización en fintech,Commercial,50,15,2.41,"Video, People also ask, Related searches, Ads top, Ads bottom"
"fintech,prestamos",prestamos fintech,"Informational, Transactional",50,66,0.77,"Sitelinks, Video, Video carousel, Local pack, Related searches, Ads bottom"
"fintech,proyecto",proyectos fintech,Informational,50,25,0.00,"AI Overview, Video, People also ask, Related searches"
