Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
sipi sic,Navigational,5400,"0.44,0.55,0.67,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82",21,0.23,"Sitelinks, Video, People also ask, Related searches",35300
tipos de empresas,Informational,4400,"0.16,0.23,1.00,1.00,0.54,0.67,0.36,0.44,0.67,0.54,0.44,0.30",33,0.45,"Featured snippet, Image pack, Video, People also ask, Related searches",522000000
marca registrada,Informational,2400,"0.66,0.83,0.83,1.00,1.00,1.00,0.83,0.83,0.83,0.83,0.83,0.66",25,0.18,"AI Overview, Image, Video carousel, People also ask, Knowledge panel, Related searches",94400000
registro de marca,Informational,1900,"0.45,0.66,0.83,0.83,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.55",17,0.29,"AI Overview, Video carousel, Short videos, People also ask, Related searches",524000000
tipos de empresas en colombia,Informational,1300,"0.20,0.30,1.00,0.79,0.54,0.54,0.37,0.37,0.54,0.42,0.42,0.30",25,0.01,"AI Overview, Image pack, Video, People also ask, Related searches",218000000
como registrar una marca en colombia,Informational,1000,"0.45,0.62,0.62,0.62,0.62,1.00,0.62,0.81,0.62,0.62,0.55,0.45",15,0.15,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",55900000
marcas registradas en colombia,Commercial,1000,"0.45,0.62,0.62,0.81,0.62,1.00,0.62,0.81,0.62,0.62,0.62,0.55",22,0.21,"Video carousel, Short videos, People also ask, Related searches",11400000
clasificacion niza,Informational,720,"0.55,0.67,0.82,1.00,1.00,1.00,0.67,0.82,0.82,1.00,1.00,0.67",28,0.00,"AI Overview, Short videos, Knowledge panel, Related searches",59600
lois,Informational,720,"0.82,1.00,0.67,0.67,0.67,0.82,0.82,0.67,0.82,0.67,0.82,0.67",45,0.00,"AI Overview, Reviews, Image, Video carousel, People also ask, Local pack, Knowledge panel, Related searches",138000000
que son los derechos de autor,Informational,720,"0.11,0.25,1.00,0.68,0.45,0.68,0.37,0.45,0.55,0.77,0.55,0.25",25,0.00,"Sitelinks, AI Overview, People also ask, Related searches, See results about",475000000
asesoria legal para empresas,Commercial,480,"0.04,0.07,0.04,0.25,0.04,0.25,0.04,1.00,0.04,0.20,0.04,0.04",19,0.97,"Reviews, People also ask, Local pack, Related searches, Ads bottom, Ads middle",18300000
cuanto vale registrar una marca en colombia,Informational,390,"0.36,0.66,0.54,0.66,0.54,1.00,0.66,0.81,0.66,0.66,0.66,0.44",22,0.13,"AI Overview, Video, Short videos, People also ask, Related searches",53700000
tipos de marcas,Informational,390,"0.29,0.29,0.81,1.00,0.81,1.00,0.54,0.66,0.66,0.66,0.66,0.44",19,0.00,"AI Overview, Image, Image pack, Video carousel, Short videos, People also ask, Knowledge panel, Related searches",513000000
constitucion de una empresa,Informational,320,"0.35,0.35,0.81,1.00,0.67,0.67,0.54,0.54,0.67,0.54,0.67,0.44",23,0.37,"AI Overview, Video carousel, People also ask, Related searches",11800000
registro de marca en colombia precio,Informational,320,"0.02,1.00,0.23,0.04,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02",15,0.18,"AI Overview, Video, People also ask, Related searches",152000000
colores marcas,Informational,260,"0.36,1.00,0.67,0.29,0.24,0.29,0.19,0.29,0.36,0.29,0.24,0.19",22,0.00,"Sitelinks, Image, Image pack, Video carousel, People also ask, Related searches",187000000
consulting group,Commercial,170,"0.52,0.67,1.00,0.81,1.00,0.67,0.67,0.67,0.52,0.67,1.00,0.67",40,0.42,"Reviews, People also ask, Local pack, Related searches, Ads bottom",494000000
oficina virtual de propiedad industrial sipi,"Informational, Transactional",140,"0.09,0.16,0.22,0.22,0.22,0.34,0.34,0.53,1.00,0.81,0.66,0.53",19,0.26,"Video, People also ask, Related searches",2800
propiedad intelectual ejemplos,Informational,140,"0.01,0.01,1.00,0.36,0.67,0.01,0.07,0.07,0.03,0.01,0.06,0.01",22,0.00,"AI Overview, Image pack, Video carousel, People also ask, Related searches",21400000
cuanto cuesta el registro de marca en colombia,Informational,110,"1.00,0.15,0.15,0.15,0.81,0.35,0.81,0.15,0.35,0.15,0.15,0.15",7,0.13,"AI Overview, Video, People also ask, Related searches",147000000
registro de software en colombia,Informational,110,"0.43,0.33,0.67,0.81,0.67,0.67,0.43,0.43,0.52,1.00,0.14,0.33",11,0.00,"AI Overview, Video carousel, People also ask, Related searches",73200000
requisitos para registrar una marca en colombia,Informational,110,"0.03,0.66,0.03,0.02,1.00,0.24,0.02,0.44,0.02,0.02,0.02,0.02",11,0.11,"Sitelinks, Video carousel, People also ask, Related searches",19400000
abogado de propiedad intelectual,Commercial,90,"0.44,1.00,0.19,0.04,0.08,0.02,0.06,0.10,0.02,0.08,0.02,0.15",20,0.57,"Reviews, People also ask, Local pack, Related searches",8510000
abogados propiedad intelectual,Commercial,90,"1.00,0.82,0.53,0.65,0.65,0.65,0.53,0.41,0.29,0.29,0.29,0.29",24,0.69,"Reviews, People also ask, Local pack, Related searches",6500000
como se registra una marca,Informational,90,"0.24,0.41,0.65,0.65,0.65,0.82,0.41,0.53,0.29,1.00,0.65,0.41",14,0.11,"AI Overview, Video carousel, Short videos, People also ask, Related searches",86800000
costo de registro de marca,Informational,90,"0.08,0.19,0.19,1.00,0.02,0.02,0.02,0.02,0.03,0.24,0.12,0.03",15,0.12,"AI Overview, Video carousel, People also ask, Related searches",131000000
cómo se registra una marca,Informational,90,"0.24,0.41,0.65,0.65,0.65,0.82,0.41,0.53,0.29,1.00,0.65,0.41",19,0.11,"Featured snippet, Video carousel, Short videos, People also ask, Related searches",68900000
marca tridimensional,Informational,90,"0.18,0.06,0.41,0.65,0.82,0.65,0.29,0.53,0.41,1.00,0.65,0.41",17,0.00,"AI Overview, Image, Image pack, Short videos, People also ask, Related searches",7580000
tipos de empresas en colombia y sus características,Informational,90,"0.20,0.40,0.20,0.80,1.00,0.20,0.20,0.20,0.40,1.00,0.20,1.00",18,0.00,"AI Overview, Image pack, People also ask, Related searches",375000000
cuanto cuesta registrar una marca,Informational,70,"0.21,0.21,0.21,0.36,0.21,1.00,0.21,1.00,0.21,0.21,0.21,0.21",10,0.14,"AI Overview, Video, Short videos, People also ask, Related searches, Ads bottom",52800000
marca notoria,Informational,40,"0.16,0.06,0.03,0.03,0.06,1.00,0.03,0.03,0.09,0.03,0.03,0.03",14,0.00,"Image pack, People also ask, Related searches",3660000
abogados registro de marcas,Commercial,30,"0.09,0.09,0.64,0.09,0.09,1.00,0.36,0.09,0.09,0.09,0.09,0.18",27,1.04,"Reviews, Video carousel, People also ask, Local pack, Related searches, Ads top",5650000
derecho de entretenimiento,Informational,30,"0.14,0.14,0.14,0.29,0.14,0.57,0.14,1.00,1.00,0.57,0.29,0.14",9,0.00,"AI Overview, Video carousel, People also ask, Knowledge panel, Related searches",61500000
