"keyword_id","keyword_text","cluster_name","is_main_keyword","intent","volume","kd","cpc","competitive_density","serp_features","trend","priority_score","enabled","status","url_target","brief_notes","content_id","published_url","source","created_at","updated_at"
"KW-FIN-032","fintech latam","fintech","False","Navigational","210","49","0.83","0.0","Sitelinks, Video, Video carousel, Knowledge panel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-033","latam fintech","fintech","False","Navigational","210","31","0.83","0.0","Sitelinks, Video, Video carousel, Knowledge panel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-034","rapicredit fintech","fintech","False","Navigational","210","50","0.31","0.0","Sitelinks, Video, Knowledge panel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-035","que es un fintech","fintech","False","Informational","140","31","0.06","0.0","Sitelinks, AI Overview, Video, Short videos, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-036","credito fintech","credito","False","Informational","110","41","0.76","0.0","Sitelinks, AI Overview, Video, Video carousel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-037","fintech americas","america","False","Navigational","110","37","0.85","0.0","Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-038","walo fintech","fintech","False","Informational","110","31","0.25","0.0","Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-SAA-003","plataforma saas","plataforma","False","Informational","110","34","0.7","0.0","Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: saas","","","semrush_magic_tool","46060","46060"
"KW-FIN-039","fintech creditos","credito","False","Commercial","90","65","0.84","0.0","Video, Video carousel, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-PRO-012","abogados propiedad intelectual","abogado","False","Commercial","90","24","0.69","0.0","Reviews, People also ask, Local pack, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: Propiedad-intelectual","","","semrush_magic_tool","46060","46060"
"KW-FIN-040","fintech credito","credito","False","Informational, Transactional","70","64","0.84","0.0","Video, Video carousel, People also ask, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-REG-007","como registrar una marca de ropa en colombia","colombia","False","Informational","70","13","0.17","0.0","AI Overview, Video, Video carousel, Short videos, People also ask, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: registro-de-marca-colombia","","","semrush_magic_tool","46060","46060"
"KW-FIN-041","prestamos fintech","fintech","False","Informational, Transactional","50","66","0.77","0.0","Sitelinks, Video, Video carousel, Local pack, Related searches, Ads bottom","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
"KW-FIN-042","proyectos fintech","fintech","False","Informational","50","25","0.0","0.0","AI Overview, Video, People also ask, Related searches","estable","30","True","pendiente","","Keyword de investigacion SEMrush - seed: fintech","","","semrush_magic_tool","46060","46060"
